Comment,anti1,anti2,anti3,cent1,cent2,cent3,sov1,sov2,sov3,none1,none2,none3,Populism
"Aja... Hausverstand auch noch...
Ein ned unbeträchtlicher Teil der Generation Hausverstand, denen ma angeboten hat, Besorgungen für den täglichen Bedarf zu decken oder gar zu bestimmen Uhrzeiten nur einkaufen zu gehen, um das Risiko für sie zu minimieren, san ma immer selbstverantwortlich beim Einkaufen aufm Gnack ummadum greut, weil ma ihnen ja von den hunderten Salathäuptln was wegnehmen könnt oder weil‘s bei der Kassa zu kurz kommen...

Ja, Entschuldigung. Aus mir redt da Frust. Bissi.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Ist DE etwa nicht der AT Koenigsfamilie zur Seite gestanden als es in Sarajevo losging, sondern hat einfach so den WW1 angefangen?
Ist ja schrecklich wie ich als Deutscher immer wieder erleben muss wie ich in der Schule belogen wurde was Geschichte betrifft.
Zum Glueck lese ich ja jetzt den Standard.de und lerne regelmaessig neu.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Korrupte oberste Führungsschicht.
Korrupte mittlere Führungsschicht.

Und darunter: Mitläufer, Leute die mit Waffe und Dienstmarke der starke Mann sein wollen, Leute die aus falsch verstandenem Korpsgeist mitmachen und der Rest will halt nicht aufmucken und selbst zur Zielscheibe werden.",1,1,1,0,0,0,0,0,0,0,0,0,1
Zum Beispiel substantivisch gebrauchte Adjektiva klein schreiben? Gibt schon seltsame Zeitvertreibe.,0,0,0,0,0,0,0,0,0,1,1,1,0
"Mir ist nicht ganz klar wen Sie jetzt genau meinen mit ""solchen Ansichten""?
Den Protestierenden wurde die Meinung ja nicht verboten, oder?
???",0,0,0,0,0,0,0,0,0,1,1,1,0
"Solange eine sog. unabhängige Organisation bei Aleppo den ""Massenmörder"" erkennt, aber nicht gleichzeitig die USA als ""Massenmörder"" betreffend Raqqa (und vielen anderen Städten) beschuldigt, können sie diese einfach als Propagandaorgan in die Tonne schmeissen.

Wissen sie, das würde man wenigsten objektiv nennen können.

Vermute aber, sie werden Zeit ihres Lebens den Unterschied zwischen Information und Propaganda wie Heinrich Müller1 nie erkennen.

So wird da über Raqqa geschrieben. Gerne die Zeilennummer wo von extremen Bombardements, totaler Zerstörung und ganz vielen Toten geschrieben wird.

https://southasiamonitor.org/news/raqqa-liberated-islamic-state-has-gone-but-the-dangers-remain/gwatch/25442",0,1,0,0,0,0,0,0,0,1,0,1,0
"Was ist die Basis der ÖVP? Erzkonservative rechte Gruppierungen, der wohlsituierte Unternehmer? Die Basis sind ganz normale Durchschnittsbürger. Ich behaupte mal, dass die überwiegende Mehrheit der ÖVP-Wähler am Land sich sehr wohl darüber gefreut hätte. Da gibt es nämlich sehr viele Familien darunter, wo die meisten halt nicht realisieren dass sie mit ihrer Stimme für die ÖVP gegen ihre eigenen Interessen wählen.",1,1,0,1,0,1,0,0,0,0,0,0,1
"...kann man recht einfach erklaeren. Der Hass vieler Amerikaner auf das politische Establishment. Die jahrelange Desavouierung von Clinton durch die Republikaner (deswegen haette sie auch nicht kandidieren sollen). Die russische Propaganda fuer Drumpf.
Der zornige weisse Ex-Arbeiter in Detroit findet sicher viel Gefallen daran, dass Drumpf mit seinen Zoellen die lokale Industrie weiter schwaecht. Der entscheidet aber genau so wenig wie Walt Kowalski die Wahl. Das einzig Entscheidende ist die Wahlbeteiligung. Ist die halbwegs gut, dann hat kein Republikaner eine Chance.",0,1,0,0,0,0,0,0,0,1,0,1,0
"Süss, jemand der auf die konstante russophobe Propaganda hereinfällt. Den Kosovo vergessen? Den Irak, Syrien, Lybien, Afghanistan, Somalia, Jugoslawien? Was ist mit dem Putsch in der Ukraine? Den vergessen? Der Poster hat schon Recht, die Russen reagieren sehr zurückhaltend, was sollen sie auch anders machen, Krieg wollen die keinen. Den will immer nur der Wertewesten, lügt, betrügt, foltert, zerfetzt mit seinen Drohnen Millionen Menschen, und willfährige schlechtinformierte Propagandaopfer wie sie eines sind, glauben auch noch den Schmarrn der täglich in den transatlantischen Märchen-Gazetten geschrieben wird. Traurig, sehr traurig...",1,1,1,0,0,0,0,0,0,0,0,0,1
"Und nicht zuletzt trägt Medienförderung das Risiko von Staatsversagen in sich, wenn Eigennutz maximierende Politiker dem Gemeinwohl nur dienen, wenn sie sich daraus einen persönlichen Vorteil versprächen oder von starken Verbänden und Lobbying-Gruppen manipuliert würden. Ist Medienförderung tatsächlich „Korruption“, wie Armin Thurnher, Herausgeber des Falter, verbittert schreibt? „Wer einfach Geld an jene Medien verteilt, die am meisten publizistischen Druck ausüben und am meisten Publicity versprechen, erspart sich nicht nur die Frage, was wirklich fördernswert ist. Er setzt sich auch dem Verdacht aus, die jahrzehntelange korrupte Beziehung zwischen Medien und Politik einfach fortzuschreiben.“ (DER FALTER, 3.4.2020)",1,1,1,0,0,0,0,0,0,0,0,0,1
"Stimmt. Merkel hat dazu nix gesagt. Die hat irgendwann rebelliert. AFAIR war das da, wo sie in Ungnaden fiel und von der hochgelobten Politikerin  zur pösen Führerin degradiert wurde.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Warum nicht?

Sie vergessen ausserdem, dass auch Minister nicht gewählt sind. Nicht einmal Regierungen sind gewählt.",0,0,0,0,0,0,0,1,0,1,0,1,0
"Wers glaubt. Und per du sind wir schon lang nimmer.
Die Mafia ist bipartisan.
Meine Behauptung lautet nicht, die Wahl sei gestohlen, sondern: Die Art, wie rasch und hastig alles abgeschmettert wurde, weil sonst der arme Biden gefährdet gewesen wär, das hat einen eher undemokratischen Eindruck hinterlassen, den sich die Menschen viele Jahre merken werden.
Viel Spass mit Ted Cruz in der nächsten Runde..",1,1,0,1,1,0,0,0,0,0,0,1,1
"Qualitingers Herr Karl war die Darstellung eines feigen, schmierigen Opportunisten. Und das offensichtlich. Das was die Eckhard macht ist dagegen von oben herab, anmaßend und trotz affektiertem Phantasie-Schönbrunnerisch einfach nur ekelhaft. Und nein, das regt nicht zum Reflektieren an wie der Herr Karl.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Will man uns wieder mit den Russen ablenken, oder haben wir keine eigenen Probleme?

Ibiza? Eine ÖVP die Tief im Korruptionssumpf steckt und deshalb kein Interesse an der Aufarbeitung hat? Wir müssen nicht so weit blicken um Dreck zu finden, da reicht Wien durchaus!
Ich hoffe jemand gibt nun endlich das Video frei, also nicht einer unser Abgeordneten die sich ja Geheimhaltungsstufe 4 für diese Farce gefallen lassen (besteht etwa Lebensgefahr oder Gefahr für die Sicherheit?) Das ganze ist wohl eher eine Gefahr für die ÖVP und die Günstlinge dieses korrupten Systems!

Irgendwann baut sich Kurz und Sobotka schon auch so eine angemessene Hütte für ihre harte Arbeit gegen das Volk!",1,1,1,0,0,0,0,0,0,0,0,0,1
"Wenn man mit Mindestlohn, erneuerbare Energien, bessere Vereinbarkeit von Beruf und Familie durch Gratiskindergärten mit längeren Öffnungszeiten, regionale Biolebensmittel für Kindergärten, Schulen und Spitäler, Anstellung von pflegenden Angehörigen und eine schärfere Sicherheitspolitik ein Blauer ist, dann kann sich die SPÖ eh gleich auflösen, oder wofür steht diese Partei dann noch?

Doskozil bringt Themen, mit denen das Leben des Durchschnittsbürger verbessert werden soll.
Die Bundes-SPÖ hingegen ist eine Mischung aus Sesselklebern, KPÖ und radikalfeministischen Splittergruppen. Kreisky würde bei diesen Leuten mit seinem Wirtschaftsslogan ""Leistung, Aufstieg, Sicherheit"" als rechtsextremer Turbokapitalist angesehen werden.",0,0,0,0,0,0,0,0,0,1,1,1,0
Wieso können Sie die Wahrheit nicht ertragen. Das es dort schöne  Häuser mit Pool  gibt und nicht Hütten mit aufblasbaren Pool. Vielleicht schöner als die Hütte in der sie leben.,0,0,0,0,0,0,0,0,0,1,1,1,0
"Wenn das Ministry of Magic dem Antrag auf leihweise Herausgabe eines Timeturners nicht zustimmen sollte, könnte man noch Mary Poppins fragen, ob sie mal wieder an der Uhr von Big Ben drehen würde.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Laut einer schnellen Suche ist das Release-Date der 23.09.2021 - diese Angabe fehlt mir im Artikel. 

Natürlich hab ich schon angefangen die Demo runterzuladen - diesmal auf der PS4 Pro weil ich dort aktuell Mass Effect 1-3 spiele. 

Übrigens gibt es aktuell PS5-Konsolen beim Media Markt - sogar im Online-Store kann man sie kaufen, der Lagerstand ist grün. Allerdings mit Spiderman. Das kann ich nicht gebrauchen, ich werde wohl auf Weihnachten und die Bundles dort warten.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Lunacek ist eine kluge und sympathische Frau. Als Frau in der ersten Reihe habe ich sie aber nach Voggenhuber schon im EU-Parlament als farblos und wenig durchsetzungskräftig erlebt. Als Kulturstaatssekretärin war sie offensichtlich eine Fehlbesetzung.
Dass sie das einsieht, finde ich wieder positiv.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Sie sagen es selbst: so sagt das Gesetz. Wieso sollte man sich nicht an das Gesetz halten?
Sagt der gesunde Menschenverstand denn, dass es ok ist einen eventuell unbeleuchteten Anhängen nieder zu fahren?
Ich denke der gesunde Menschenverstand ist oftmals sogar strenger als das Gesetz.
Natürlich fahren aber auch immer Leute ohne den.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Der Artikel ist einseitig recherchiert und ist eine pauschale Wertung in alle Richtungen und bestenfalls dazu geeignet, die Gesellschaft zu spalten. Die Bildungsmöglichkeiten ab der sogenannten Millennials-Generation war noch nie so gut wie jener der Vorgenarationen. Das Beispiel von einer gescheiterten Banker-Karriere in London ist ja grotesk.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Na wenn der ACA, Roe v. Wade, DC vs. Heller, etc. so eine deutliche Mehrheit in der Bevölkerung haben, dann werden wohl alle working poor, die davon profitieren, sicher nicht Trump sondern Herrn Biden wählen. Und bei den Wahlen zum Senat sowieso die Demokraten, die ja sicher die Chance am Schopf gepackt und aus diesen Mehrheitsmeinungen ein ansprechendes Wahlprogramm gestrickt haben.

Oh wait.

Irgendwas haben wir wohl übersehen ...",0,0,0,0,0,0,0,0,0,1,1,1,0
"""Eigentlich eine Frechheit, nur über ein Angebot abstimmen zu lassen"", machte ein MAN-Mitarbeiter seinem Ärger Luft. Man dürfe sich daher über das Ergebnis nicht wundern: ""Wenn ich mir heute ein Auto kaufe, nehm ich auch nicht gleich das erstbeste Modell."" Das Motto müsse nun ""Zurück an den Start"" lauten.


loooool. Wenn der glaubt, es werden weitere noch bessere Angebote eintrudeln, wird er sich aber sehr täuschen. Die Alternative ist die Schließung des Werkes mit 100% arbeitslosen, die dann 55% des Letztbezuges haben, einem Supergau udn Wohlstandsverlust für die Region Steyr und zig verlorenen Arbeitsplätzen in der Wertschöpfungskette.

Alles den trotzreaktionen von von der Gewerkschaft aufgehussten Arbeitern zu verdanken.",0,0,0,0,0,0,0,0,0,1,1,1,0
"jener screen shot wurde von RKI bestätigt, 
indem es auf Seite 20 nachwies, dass die ""R"" bereits 3 Tage vor lockdown unter !1"" war, und sich während lockdown nicht mehr veränderte.

R Zahl und Comortalität sind nun nicht das selbe, aber der gleiche haarsträubdende Vorgang

Und alle Definition zu ""Epidemie2 oder ""Pandemie"" misst sich an einem, nicht wegzuleugnedem Indiz oder Fakt: Sterbezahlen

Die nicht vorhanden sind

Sie unterliegen einer Falldemie, einer unglaublichen, global inszenierten Suggestion

Und machen bereitwillig mit",1,1,1,0,0,1,0,0,0,0,0,0,1
